method,run_id,iteration,residual
HiSD,comparison_HiSD_seed1_repeat1,1220,0.12752181013634245
HiSD,comparison_HiSD_seed1_repeat1,1230,0.12058046038946788
HiSD,comparison_HiSD_seed1_repeat1,1240,0.11402085375889294
HiSD,comparison_HiSD_seed1_repeat1,1250,0.10782189350426885
HiSD,comparison_HiSD_seed1_repeat1,1260,0.10196365244995283
HiSD,comparison_HiSD_seed1_repeat1,1270,0.09642730810770747
HiSD,comparison_HiSD_seed1_repeat1,1280,0.09119508125102672
HiSD,comparison_HiSD_seed1_repeat1,1290,0.08625017813271225
HiSD,comparison_HiSD_seed1_repeat1,1300,0.08157673576162991
HiSD,comparison_HiSD_seed1_repeat1,1310,0.0771597702962242
HiSD,comparison_HiSD_seed1_repeat1,1320,0.07298512817577674
HiSD,comparison_HiSD_seed1_repeat1,1330,0.0690394401356027
HiSD,comparison_HiSD_seed1_repeat1,1340,0.06531007780706687
HiSD,comparison_HiSD_seed1_repeat1,1350,0.06178511242804302
HiSD,comparison_HiSD_seed1_repeat1,1360,0.05845327621642768
HiSD,comparison_HiSD_seed1_repeat1,1370,0.055303925569569486
HiSD,comparison_HiSD_seed1_repeat1,1380,0.052327006660153094
HiSD,comparison_HiSD_seed1_repeat1,1390,0.04951302254360195
HiSD,comparison_HiSD_seed1_repeat1,1400,0.046853002457120346
HiSD,comparison_HiSD_seed1_repeat1,1410,0.044338472585963996
HiSD,comparison_HiSD_seed1_repeat1,1420,0.04196142843244696
HiSD,comparison_HiSD_seed1_repeat1,1430,0.039714309054257484
HiSD,comparison_HiSD_seed1_repeat1,1440,0.03758997230918977
HiSD,comparison_HiSD_seed1_repeat1,1450,0.0355816717094287
HiSD,comparison_HiSD_seed1_repeat1,1460,0.03368303452547441
HiSD,comparison_HiSD_seed1_repeat1,1470,0.03188804108873565
HiSD,comparison_HiSD_seed1_repeat1,1480,0.030191005275864453
HiSD,comparison_HiSD_seed1_repeat1,1490,0.028586556013982956
HiSD,comparison_HiSD_seed1_repeat1,1500,0.02706961984389893
HiSD,comparison_HiSD_seed1_repeat1,1510,0.02563540451895879
HiSD,comparison_HiSD_seed1_repeat1,1520,0.024279383384933666
HiSD,comparison_HiSD_seed1_repeat1,1530,0.02299728076837853
HiSD,comparison_HiSD_seed1_repeat1,1540,0.02178505800310149
HiSD,comparison_HiSD_seed1_repeat1,1550,0.02063890043406492
HiSD,comparison_HiSD_seed1_repeat1,1560,0.01955520498954705
HiSD,comparison_HiSD_seed1_repeat1,1570,0.018530568523707252
HiSD,comparison_HiSD_seed1_repeat1,1580,0.01756177672554308
HiSD,comparison_HiSD_seed1_repeat1,1590,0.01664579372048272
HiSD,comparison_HiSD_seed1_repeat1,1600,0.01577975228690324
HiSD,comparison_HiSD_seed1_repeat1,1610,0.014960944383691284
HiSD,comparison_HiSD_seed1_repeat1,1620,0.01418681254670863
HiSD,comparison_HiSD_seed1_repeat1,1630,0.01345494146239035
HiSD,comparison_HiSD_seed1_repeat1,1640,0.012763050157718461
HiSD,comparison_HiSD_seed1_repeat1,1650,0.012108984494837181
HiSD,comparison_HiSD_seed1_repeat1,1660,0.011490710352849761
HiSD,comparison_HiSD_seed1_repeat1,1670,0.01090630677701707
HiSD,comparison_HiSD_seed1_repeat1,1680,0.010353959853052175
HiSD,comparison_HiSD_seed1_repeat1,1690,0.009831956796781532
HiSD,comparison_HiSD_seed1_repeat1,1700,0.009338680171810738
HiSD,comparison_HiSD_seed1_repeat1,1710,0.008872602711841551
HiSD,comparison_HiSD_seed1_repeat1,1720,0.008432282306020339
HiSD,comparison_HiSD_seed1_repeat1,1730,0.008016357153036226
HiSD,comparison_HiSD_seed1_repeat1,1740,0.007623541305623513
HiSD,comparison_HiSD_seed1_repeat1,1750,0.007252620319223896
HiSD,comparison_HiSD_seed1_repeat1,1760,0.006902447277470304
HiSD,comparison_HiSD_seed1_repeat1,1770,0.0065719388396368
HiSD,comparison_HiSD_seed1_repeat1,1780,0.00626007158906376
HiSD,comparison_HiSD_seed1_repeat1,1790,0.0059658786151062055
HiSD,comparison_HiSD_seed1_repeat1,1800,0.005688446041380017
HiSD,comparison_HiSD_seed1_repeat1,1810,0.005426910036614343
HiSD,comparison_HiSD_seed1_repeat1,1820,0.005180453628972551
HiSD,comparison_HiSD_seed1_repeat1,1830,0.004948303911798799
HiSD,comparison_HiSD_seed1_repeat1,1840,0.004729729225552742
HiSD,comparison_HiSD_seed1_repeat1,1850,0.004524036650666127
HiSD,comparison_HiSD_seed1_repeat1,1860,0.004330569427280573
HiSD,comparison_HiSD_seed1_repeat1,1870,0.004148704550012684
HiSD,comparison_HiSD_seed1_repeat1,1880,0.003977850555800482
HiSD,comparison_HiSD_seed1_repeat1,1890,0.003817445392567337
HiSD,comparison_HiSD_seed1_repeat1,1900,0.0036669543330465214
HiSD,comparison_HiSD_seed1_repeat1,1910,0.0035258681048241035
HiSD,comparison_HiSD_seed1_repeat1,1920,0.003393701092784028
HiSD,comparison_HiSD_seed1_repeat1,1930,0.0032699896959945468
HiSD,comparison_HiSD_seed1_repeat1,1940,0.0031542908208919327
HiSD,comparison_HiSD_seed1_repeat1,1950,0.0030461804265186467
HiSD,comparison_HiSD_seed1_repeat1,1960,0.00294525233505395
