method,label,status,converged,iterations,final_residual,final_index,quantity,repetition_1,repetition_2,repetition_3,median,min,max
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_metric_setup,0,0,0,0,0,0
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_metric_apply,0,0,0,0,0,0
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_metric_solve,0,0,0,0,0,0
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_frame,68.31358864909271,69.32609763278742,70.36330270042527,69.32609763278742,68.31358864909271,70.36330270042527
standard_hisd,HiSD,converged,True,33939,9.99716925998432e-07,1,T_cert_Hessian,0.11026679200585932,0.10276129198609851,0.10377012501703575,0.10377012501703575,0.10276129198609851,0.11026679200585932
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_total,2.2305068320129067,2.1191421669500414,2.210076039977139,2.210076039977139,2.1191421669500414,2.2305068320129067
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_setup_update,7.191699114628136e-05,0.00013966698315925896,7.52909982111305e-05,7.52909982111305e-05,7.191699114628136e-05,0.00013966698315925896
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_apply_solve,0.03340763828600757,0.03235568356467411,0.0325003131874837,0.0325003131874837,0.03235568356467411,0.03340763828600757
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_eig,1.9513583255175035,1.8514923872135114,1.9301565032219514,1.9301565032219514,1.8514923872135114,1.9513583255175035
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_cert,0.10474100001738407,0.1048508330131881,0.1096163339971099,0.1048508330131881,0.10474100001738407,0.1096163339971099
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_shared_initial,0.10702166601549834,0.1102429999737069,0.10496283299289644,0.10702166601549834,0.10496283299289644,0.1102429999737069
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_H0_build,0.10381991698523052,0.10717033297987655,0.10170349999680184,0.10381991698523052,0.10170349999680184,0.10717033297987655
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_shared_spectrum,0.0031529589905403554,0.002999834017828107,0.0032035420008469373,0.0031529589905403554,0.002999834017828107,0.0032035420008469373
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_shared_other,4.879003972746432e-05,7.283297600224614e-05,5.579099524766207e-05,5.579099524766207e-05,4.879003972746432e-05,7.283297600224614e-05
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_method_initial,0.003467082977294922,0.003677208995213732,0.0034796659892890602,0.0034796659892890602,0.003467082977294922,0.003677208995213732
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_initial_eig,0.0033905410091392696,0.003528457978973165,0.0033972090168390423,0.0033972090168390423,0.0033905410091392696,0.003528457978973165
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_outer,2.1200180830201134,2.005221957981121,2.1016335409949534,2.1016335409949534,2.005221957981121,2.1200180830201134
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_metric_setup,7.191699114628136e-05,0.00013966698315925896,7.52909982111305e-05,7.52909982111305e-05,7.191699114628136e-05,0.00013966698315925896
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_metric_apply,0.011715935019310564,0.01129566429881379,0.011400028975913301,0.011400028975913301,0.01129566429881379,0.011715935019310564
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_metric_solve,0.021691703266697004,0.02106001926586032,0.021100284211570397,0.021100284211570397,0.02106001926586032,0.021691703266697004
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_frame,1.8409949085325934,1.7377937622368336,1.8218522522074636,1.8218522522074636,1.7377937622368336,1.8409949085325934
p_hisd_H1,Laplacian,converged,True,841,9.879639023886598e-07,1,T_cert_Hessian,0.10274300002492964,0.10292649999610148,0.1076992500165943,0.10292649999610148,0.10274300002492964,0.1076992500165943
